Rank,Title,Rating / 5,Difficulty / 5,"Length
(Hours)"
1,Persona 5,4.54,3.06,80
2,The Witcher 3: Wild Hunt,4.46,3.37,80.00
3,Persona 5 Royal,4.45,2.86,80
4,Bloodborne,4.44,4.12,62.92
5,God of War,4.41,3.45,41.14
6,NieR: Automata,4.41,3.03,54.13
7,The Last of Us Remastered,4.41,3.26,28.79
8,Yakuza 0,4.39,2.99,70.60
9,Final Fantasy VII,4.38,2.87,66.80
10,Resident Evil 2,4.37,3.39,21.96
11,Dark Souls III,4.36,4.17,65.61
12,Final Fantasy X / X-2 HD Remaster,4.36,3.06,80
13,Dragon Quest XI: Echoes of an Elusive Age,4.36,2.91,80
14,Disgaea 5: Alliance of Vengeance,4.36,3.08,80
15,Kingdom Hearts HD I.5 + II.5 Remix,4.35,3.30,80
16,Bloodborne: Complete Edition,4.35,4.28,64.78
17,Grand Theft Auto V,4.34,2.94,64.13
18,The Witcher 3: Wild Hunt - Complete Edition,4.33,3.11,80
19,Dark Souls Remastered,4.32,3.99,61.13
20,Final Fantasy IX,4.32,2.99,71.71
21,The Legend of Heroes: Trails of Cold Steel III,4.32,2.75,80
22,Uncharted 4: A Thief's End,4.32,3.01,21.79
23,The Elder Scrolls V: Skyrim Special Edition,4.30,2.91,80
24,Final Fantasy XII: The Zodiac Age,4.30,2.98,80
25,Monster Hunter: World,4.30,3.33,80
26,Marvel's Spider-Man,4.30,2.93,37.20
27,Odin Sphere Leifthrasir,4.29,2.97,51.79
28,The Legend of Heroes: Trails of Cold Steel,4.29,2.97,80
29,Resident Evil 4,4.29,3.08,25.07
30,The Legend of Heroes: Trails of Cold Steel II,4.29,2.97,75.77
31,Yakuza Kiwami 2,4.27,2.97,56.74
32,Red Dead Redemption 2,4.27,2.92,73.54
33,Dark Souls III: The Fire Fades Edition,4.27,4.11,73.19
34,Horizon Zero Dawn,4.26,3.04,57.43
35,Ys VIII: Lacrimosa of DANA,4.26,3.01,66.54
36,Diablo III: Ultimate Evil Edition,4.26,3.01,74.84
37,Valkyria Chronicles Remastered,4.25,3.32,51.07
38,Tales of Vesperia: Definitive Edition,4.25,3.08,80
39,Metal Gear Solid V: The Phantom Pain,4.25,3.15,76.83
40,Mega Man X Legacy Collection 1 + 2,4.24,3.65,67.44
41,Bloodstained: Ritual of the Night,4.24,3.04,36.96
42,Resident Evil HD Remaster,4.23,3.35,19.56
43,BioShock: The Collection,4.23,3.04,56.06
44,Mega Man Legacy Collection 2,4.22,3.64,46.83
45,Borderlands: The Handsome Collection,4.22,3.12,76.72
46,Digimon Story Cyber Sleuth,4.22,2.92,76.16
47,Uncharted: The Nathan Drake Collection,4.22,3.13,45.84
48,Yakuza: Like a Dragon,4.21,2.96,76.43
49,Mega Man Legacy Collection,4.21,3.85,27.78
50,Hatsune Miku: Project Diva Future Tone,4.21,3.87,65.32
51,Horizon Zero Dawn: Complete Edition,4.21,3.17,64.03
52,Dragon's Dogma: Dark Arisen,4.21,3.13,80
53,Ghost of Tsushima,4.19,3.06,52.32
54,Nioh,4.19,3.97,75.07
55,Zero Escape: The Nonary Games,4.19,3.23,49.05
56,The Legend of Heroes: Trails of Cold Steel IV,4.19,2.93,80
57,Dark Cloud 2,4.19,3.15,80
58,Sonic Mania,4.19,3.21,15.19
59,Gundam Breaker 3,4.19,3.04,79.83
60,The Walking Dead: A Telltale Games Series - The Complete First,4.18,1.63,15.46
,Season,,,
61,Star Ocean 3: Till the End of Time,4.18,3.41,75.16
62,Warriors Orochi 3 Ultimate,4.18,2.97,78.23
63,Stardew Valley,4.18,2.69,80
64,Tales of Berseria,4.17,2.95,74.62
65,Dragon Quest Builders 2,4.17,2.71,80
66,Batman: Return to Arkham,4.17,3.1,45.18
67,Spyro Reignited Trilogy,4.17,2.83,35.96
68,Final Fantasy VII Remake,4.16,3.1,52.77
69,Okami HD,4.16,2.73,51.25
70,Valkyria Chronicles 4,4.16,3.29,69.32
71,Final Fantasy XIV Online: A Realm Reborn,4.16,3.13,80
72,Danganronpa 1-2 Reload,4.16,2.93,66.82
73,Tomb Raider: Definitive Edition,4.16,2.92,23.27
74,Rocket League,4.16,3.21,53.12
75,Grand Theft Auto: San Andreas,4.16,3.15,53.82
76,Castlevania Requiem: Symphony of the Night & Rondo of Blood,4.16,3.27,37.13
77,DOOM,4.15,3.31,22.5
78,Yakuza 6: The Song of Life,4.14,2.93,54.23
79,Resident Evil: Origins Collection,4.14,3.55,35.59
80,Dark Souls II: Scholar of the First Sin,4.14,4,73.05
81,SD Gundam G Generation Genesis,4.13,2.93,80
82,13 Sentinels: Aegis Rim,4.13,2.64,40.31
83,Life is Strange,4.13,1.97,18.3
84,Megadimension Neptunia VII,4.12,2.96,63.75
85,Guilty Gear Xrd -REVELATOR-,4.12,3.38,47.32
86,Dragon Quest Builders,4.11,2.86,64.06
87,The Wolf Among Us,4.11,1.63,11.18
88,Salt and Sanctuary,4.11,3.87,35.23
89,Bully,4.11,2.72,25.03
90,Super Robot Taisen OG: The Moon Dwellers,4.11,3.01,68.6
91,Devil May Cry 4: Special Edition,4.11,3.37,43.69
92,Hollow Knight: Voidheart Edition,4.11,4,54.61
93,Super Robot Taisen V,4.11,2.54,74.06
94,Sekiro: Shadows Die Twice,4.11,4.47,49.06
95,Judgment,4.1,2.97,57.37
96,Monster Hunter: World - Iceborne Master Edition,4.1,3.78,80
97,South Park: The Stick of Truth,4.1,2.47,25.52
98,The King of Fighters XIV,4.1,3.17,53.45
99,Devil May Cry 5,4.1,3.13,22.31
100,Minecraft: PlayStation 4 Edition,4.1,2.69,71.58
101,Dead or Alive 5 Last Round,4.1,3.13,56.8
102,Terraria,4.1,3.3,71.58
103,Final Fantasy VIII Remastered,4.09,2.86,65.7
104,Crash Bandicoot N. Sane Trilogy,4.09,3.9,37.98
105,.hack//G.U. Last Recode,4.09,2.72,80
106,Guilty Gear Xrd -SIGN-,4.09,3.38,46.27
107,Dynasty Warriors 8: Xtreme Legends Complete Edition,4.09,2.94,72.42
108,Titanfall 2,4.09,3,24.66
109,Shadow of the Colossus,4.08,3.03,14.87
110,Yu-Gi-Oh! Legacy of the Duelist,4.08,2.92,68.55
111,Yakuza Kiwami,4.08,3.12,49.68
112,One Piece: Pirate Warriors 3,4.08,2.89,65.51
113,Dragon Age: Inquisition,4.07,3.01,80
114,Trials of Mana,4.07,2.65,39.41
115,Shenmue I & II,4.07,3.01,54.97
116,Sonic Mania Plus,4.07,3.31,12.17
117,The Binding of Isaac: Rebirth,4.07,4.35,67.94
118,Darkest Dungeon,4.07,4.51,48.18
119,Digimon Story Cyber Sleuth: Hacker's Memory,4.07,2.95,76.19
120,Batman: Arkham Knight,4.07,3.04,38.86
121,Star Ocean 4: The Last Hope - 4K & Full HD Remaster,4.07,3.13,72.04
122,Sword Art Online: Hollow Realization,4.07,3,80
123,INSIDE,4.07,2.57,4.62
124,Elite: Dangerous,4.06,3.78,74.56
125,Nioh 2,4.06,4.01,80
126,MLB 15: The Show,4.06,3.1,77.86
127,Axiom Verge,4.06,3.31,17.17
128,God Eater Resurrection,4.06,3.7,77.82
129,LEGO Dimensions,4.06,2.36,60.15
130,Hatsune Miku: Project Diva X,4.06,3.1,52.66
131,Samurai Warriors 4,4.06,2.84,67.38
132,Ratchet & Clank,4.06,2.74,20.08
133,Rise of the Tomb Raider: 20 Year Celebration,4.06,2.94,32.15
134,Assassin's Creed Odyssey,4.06,3.01,80
135,Digimon World: Next Order,4.05,3.7,77.88
136,Detroit: Become Human,4.05,2.39,21.2
137,Rayman Legends,4.05,3.11,31.49
138,Assassin's Creed IV: Black Flag,4.05,2.88,45.14
139,Middle-earth: Shadow of Mordor,4.05,3.1,36.16
140,Shovel Knight,4.05,3.45,14.25
141,God Eater 2: Rage Burst,4.05,3.31,72.02
142,Tony Hawk's Pro Skater 1 + 2,4.04,3.2,39.07
143,South Park: The Fractured But Whole,4.04,2.74,25.12
144,Grand Theft Auto: Vice City,4.04,3.29,38.88
145,Uncharted: The Lost Legacy,4.04,2.96,12.63
146,Rise of the Tomb Raider,4.04,2.93,33.26
147,Guilty Gear Xrd: Rev 2,4.04,3.39,42.02
148,Tales from the Borderlands: A Telltale Game Series,4.04,1.52,14.34
149,Sword Art Online Re: Hollow Fragment,4.04,3.11,80
150,Assassin's Creed Origins,4.04,2.96,63.52
151,Mega Man 11,4.04,3.69,12.2
152,The Last of Us: Left Behind,4.03,2.98,7.32
153,Rogue Galaxy,4.03,3.17,70.88
154,MLB 14: The Show,4.03,3.15,74.12
155,Gravity Rush Remastered,4.03,2.9,23.55
156,Dragon Age: Inquisition - Game of the Year Edition,4.03,3.03,80
157,Toukiden: Kiwami,4.03,3.01,73.57
158,Gravity Rush 2,4.03,2.98,43.24
159,The Walking Dead: Season Two - A Telltale Games Series,4.03,1.57,14.1
160,Kingdom Hearts HD 2.8 Final Chapter Prologue,4.02,3.08,45.69
161,Injustice 2,4.02,3.13,45.74
162,Mortal Kombat X,4.02,3.19,37.44
163,Dark Cloud,4.02,3.12,55.32
164,Dragon Ball: Xenoverse,4.02,3.55,55.75
165,Earth Defense Force 4.1: The Shadow of New Despair,4.02,3.48,77.31
166,Alien: Isolation,4.02,3.9,24.92
167,God of War III Remastered,4.02,3.1,16.66
168,Sleeping Dogs: Definitive Edition,4.02,2.92,36.88
169,Overwatch,4.01,3.05,73.96
170,Ace Combat 7: Skies Unknown,4.01,3.52,35.12
171,BlazBlue: Chrono Phantasma Extend,4.01,3.23,45.74
172,Until Dawn,4.01,2.61,12.82
173,Toukiden 2,4.01,2.9,76.54
174,Ultimate Marvel vs. Capcom 3,4.01,3.27,31.61
175,Assassin's Creed: The Ezio Collection,4.01,2.91,76.25
176,Dragon Ball: Xenoverse 2,4.01,3.07,57.88
177,Journey,4.01,1.89,4.15
178,Dying Light: The Following - Enhanced Edition,4.01,3.26,49.16
179,Tom Clancy's Rainbow Six Siege,4,3.76,71.36
180,Samurai Warriors 4 Empires,4,2.95,65.94
181,Wipeout: Omega Collection,4,3.91,61.24
182,Dishonored 2,4,3.14,31.79
183,Battle Chasers: Nightwar,4,3.25,55.81
184,Dragon Quest Heroes: The World Tree's Woe and the Blight Below,4,2.93,56.14
185,Hellblade: Senua's Sacrifice,4,2.96,10.86
186,inFamous: Second Son,4,2.87,21.26
187,Divinity: Original Sin II - Definitive Edition,4,3.96,80
188,Guacamelee! Super Turbo Championship Edition,4,3.23,14.81
189,Dying Light,4,3.16,45.41
190,Saint Seiya: Soldiers' Soul,4,3,28.6
191,Resident Evil 5,4,3.03,33.11
192,Fallout 4,3.99,2.94,76.61
193,Naruto Shippuden: Ultimate Ninja Storm 4,3.99,2.86,35.9
194,Resident Evil 7: biohazard,3.99,3.2,16.51
195,Hitman 2,3.99,3.02,44.35
196,The Evil Within 2,3.99,3.14,24.4
197,World of Final Fantasy,3.99,2.81,59.32
198,Rogue Legacy,3.99,4.01,33.18
199,LEGO Star Wars: The Force Awakens,3.99,2.48,31.2
200,Dragon Quest Heroes II,3.99,3.05,71.73
201,Mortal Kombat XL,3.99,3.19,36.19
202,Dead or Alive Xtreme 3: Fortune,3.99,2.66,67.4
203,Wolfenstein: The New Order,3.99,3.11,19.15
204,Child of Light,3.98,2.79,16.94
205,XCOM 2,3.98,4.17,56.35
206,Darksiders: Warmastered Edition,3.98,3.08,26.74
207,Uncharted 2: Among Thieves Remastered,3.98,3.09,15.36
208,Bloodstained: Curse of the Moon,3.98,3.48,8.51
209,Plants vs Zombies: Garden Warfare 2,3.98,2.85,50.54
210,P.T.,3.98,3.75,6.22
211,Hotline Miami 2: Wrong Number,3.98,4.05,16.55
212,Ultra Street Fighter IV,3.98,3.43,48.86
213,Saints Row IV: Re-Elected & Gat Out of Hell,3.98,2.74,41.72
214,The Elder Scrolls V: Skyrim VR,3.98,3.01,79.55
215,The Witness,3.98,4.01,34.62
216,Samurai Warriors 4-II,3.98,2.8,63.55
217,Everybody's Golf,3.97,3.07,60.17
218,Dragon Ball FighterZ,3.97,3.05,41.54
219,Metal Gear Solid V: The Definitive Experience,3.97,3.5,77.62
220,Dragon's Crown Pro,3.97,3.15,64.39
221,Borderlands: Game of the Year Edition,3.97,2.91,67.12
222,Senran Kagura: Estival Versus,3.97,2.71,41.55
223,LEGO Marvel Super Heroes 2,3.97,2.56,42.14
224,Enter the Gungeon,3.96,4.26,70.44
225,Dishonored: Definitive Edition,3.96,3.12,31.14
226,Hotline Miami,3.96,3.87,13.7
227,BlazBlue: Central Fiction,3.96,3.18,46.29
228,LEGO Harry Potter Collection,3.96,2.61,53.63
229,LEGO Jurassic World,3.96,2.22,37.27
230,Undertale,3.96,2.99,11.86
231,Fairy Fencer F: Advent Dark Force,3.95,2.94,67.82
232,Valiant Hearts: The Great War,3.95,2.07,10.27
233,Kingdom Hearts III,3.94,2.56,49.78
234,Divinity: Original Sin Enhanced Edition,3.94,3.88,78.64
235,Destiny: The Taken King - Legendary Edition,3.93,3.14,69.86
236,Crash Team Racing: Nitro-Fueled,3.93,3.6,47.34
237,The Last Guardian,3.93,2.95,14.82
238,Resident Evil: Revelations,3.93,3.25,22.93
239,Tokyo Xanadu eX+,3.92,2.97,70.42
240,Deus Ex: Mankind Divided,3.92,3.07,34.24
241,Sword Art Online: Fatal Bullet,3.92,3.02,55.62
242,Streets of Rage 4,3.92,3.61,14.15
243,Far Cry 4,3.92,2.94,41.27
244,Uncharted 3: Drake's Deception Remastered,3.92,3.1,14.59
245,SOMA,3.91,3,10.55
246,Battlefield 1,3.91,3.09,42.43
247,DOOM Eternal,3.91,3.79,24.48
248,Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,3.9,2.78,76.38
249,The Witch and the Hundred Knight: Revival Edition,3.9,3.4,69.05
250,Dynasty Warriors 8 Empires,3.9,2.75,66.44
251,Little Nightmares,3.9,2.97,8.73
252,Grand Kingdom,3.9,3.11,70.26
253,Oddworld: Abe's Oddysee - New 'n' Tasty,3.9,3.33,15.61
254,Transistor,3.9,3.11,13.9
255,Resident Evil: Revelations 2,3.9,3.06,34.29
256,Final Fantasy XV: Royal Edition,3.9,2.92,70.1
257,The Elder Scrolls Online: Tamriel Unlimited,3.9,2.99,76.09
258,Ni no Kuni II: Revenant Kingdom,3.89,2.39,70.37
259,LEGO Marvel's Avengers,3.88,2.49,34.59
260,Catherine: Full Body,3.88,3.31,26.43
261,Metro Redux,3.88,3.28,28.01
262,Dust: An Elysian Tail,3.88,2.84,19.56
263,Middle-earth: Shadow of Mordor - Game of the Year Edition,3.88,3.08,40.73
264,Fist of the North Star: Lost Paradise,3.88,3.08,67.92
265,MediEvil,3.87,3.09,12.47
266,Let It Die,3.87,4.05,72.22
267,Hitman,3.87,3.11,37.24
268,Devil May Cry HD Collection,3.87,3.89,52.73
269,NBA 2K15,3.87,3.05,70.93
270,Samurai Shodown,3.87,2.94,28.28
271,Dragon Ball Z: Kakarot,3.87,2.79,57.02
272,LEGO Batman 3: Beyond Gotham,3.86,2.22,34.03
273,Prey,3.86,3.62,34.68
274,A Plague Tale: Innocence,3.86,2.84,18.19
275,Grand Theft Auto III,3.86,3.28,42.3
276,LEGO Marvel Super Heroes,3.85,2.2,32.32
277,Grim Fandango Remastered,3.85,3.29,12.21
278,Sword Art Online: Lost Song,3.85,2.86,52.43
279,Shantae: Half-Genie Hero,3.85,2.72,16.97
280,Alienation,3.84,3.36,42.26
281,Resogun,3.84,3.67,11.85
282,Atelier Sophie: The Alchemist of the Mysterious Book,3.83,2.92,57.44
283,Cyberdimension Neptunia: 4 Goddesses Online,3.83,2.7,45.23
284,Atelier Ryza: Ever Darkness & the Secret Hideout,3.83,2.8,55.9
285,Helldivers,3.83,3.96,51.04
286,Danganronpa V3: Killing Harmony,3.83,2.8,46.22
287,Attack on Titan,3.83,2.99,43.96
288,Bastion,3.83,2.94,12.46
289,Life is Strange: Before the Storm,3.82,1.61,12.05
290,Atelier Firis: The Alchemist and the Mysterious Journey,3.82,2.93,64.76
291,Plants vs Zombies: Garden Warfare,3.82,2.9,43.28
292,NBA 2K14,3.81,3.06,67.6
293,Tearaway Unfolded,3.81,2.2,18.79
294,flower,3.81,1.69,5.89
295,Furi,3.81,4.31,10.33
296,What Remains of Edith Finch,3.81,1.29,3.11
297,Shadow Warrior,3.8,3.1,18.54
298,Batman: The Enemy Within - The Telltale Series,3.79,1.84,11.83
299,The Outer Worlds,3.79,2.7,35.71
300,Days Gone,3.79,3.05,54.59
301,Final Fantasy XV,3.79,2.77,68.41
302,Resident Evil 0: HD Remaster,3.79,3.35,19.34
303,Gundam Versus,3.79,3.2,53.8
304,Rock Band 4,3.79,3.16,76.81
305,Gal*Gun: Double Peace,3.79,3.06,30.67
306,Firewatch,3.78,1.57,6.05
307,ARK: Survival Evolved,3.78,3.95,72.14
308,Overcooked!,3.78,3.09,12.43
309,Fate/Extella: The Umbral Star,3.78,2.82,48.61
310,LEGO The Hobbit,3.78,2.29,33.63
311,Death Stranding,3.78,2.71,59.87
312,I Am Setsuna,3.78,2.86,36.13
313,Romance of the Three Kingdoms XIII,3.78,3.59,79.6
314,Tom Clancy's The Division 2,3.77,3.19,60.07
315,Akiba's Trip: Undead & Undressed,3.77,2.98,30.09
316,Transformers: Devastation,3.77,3.12,20.76
317,Wolfenstein: The Old Blood,3.77,3.16,13.24
318,Dead Cells,3.77,4.31,37.7
319,The Evil Within,3.77,3.86,23.44
320,SMITE,3.77,3.25,76.54
321,Tom Clancy's Ghost Recon: Wildlands,3.77,3.01,59.5
322,This War of Mine: The Little Ones,3.77,3.82,23.35
323,Wasteland 2: Director's Cut,3.77,3.83,62.45
324,Saints Row IV: Re-Elected,3.76,2.66,42.78
325,Mad Max,3.76,2.93,50.98
326,SoulCalibur VI,3.76,3,45.55
327,Kingdom Come: Deliverance,3.76,3.58,79.48
328,Final Fantasy Type-0 HD,3.76,3.15,57.1
329,Metro: 2033 Redux,3.76,3.11,17.27
330,Sakura Wars,3.76,2.29,36.59
331,Street Fighter V: Arcade Edition,3.76,3.05,37.15
332,Darksiders II: Deathinitive Edition,3.76,3,35.72
333,Omega Quintet,3.75,3.04,66.1
334,Onechanbara Z2: Chaos,3.75,2.97,27.53
335,Assassin's Creed Syndicate,3.75,2.79,38.97
336,Berserk and the Band of the Hawk,3.75,3,40.42
337,LIMBO,3.75,3.35,4.78
338,Code Vein,3.75,3.58,57.02
339,Battlefield 4,3.74,2.98,45.2
340,RiME,3.74,2.5,9.21
341,Fallout 4: Game of the Year Edition,3.74,2.86,79.83
342,Blue Reflection,3.74,2.18,43.75
343,Metal Gear Solid V: Ground Zeroes,3.74,3.16,11.06
344,NBA 2K17,3.74,2.95,55.6
345,Borderlands 3,3.73,3.03,57.83
346,A Way Out,3.73,1.95,8.38
347,Star Wars Jedi: Fallen Order,3.73,3.29,26.17
348,BlazBlue: Cross Tag Battle,3.72,2.87,48.29
349,Wolfenstein II: The New Colossus,3.72,3.74,20.52
350,Project CARS,3.72,3.51,65.4
351,Far Cry Primal,3.72,2.95,37.38
352,FIFA 14,3.72,3.02,50.48
353,Persona 5: Dancing in Starlight,3.71,2.87,20.67
354,Deadpool,3.71,2.95,15.87
355,Nights of Azure,3.71,2.8,42.57
356,Warframe,3.71,3.08,77.77
357,ABZU,3.71,1.34,3.1
358,Shadow of the Tomb Raider,3.71,2.91,28.8
359,Control,3.7,3.37,24.87
360,Middle-earth: Shadow of War,3.7,3.06,48.49
361,Outlast,3.7,3.48,9.25
362,WWE 2K17,3.7,2.87,55.65
363,Madden NFL 16,3.7,3.16,47.27
364,Unravel,3.7,2.84,9.69
365,Street Fighter: 30th Anniversary Collection,3.7,3.53,36.35
366,The LEGO Movie Videogame,3.7,2.15,23.54
367,Neverwinter,3.69,2.89,80
368,Killing Floor 2,3.69,3.31,57.44
369,Madden NFL 15,3.69,3.03,58.67
370,Rebel Galaxy,3.68,3.05,49.15
371,Madden NFL 17,3.68,2.97,58.53
372,Far Cry 5,3.68,2.94,41.69
373,Day of the Tentacle Remastered,3.68,3.05,6.68
374,Broforce,3.68,3.42,12.34
375,Sniper Elite 4,3.68,3.31,23.29
376,Velocity 2X,3.68,3.54,23.6
377,JoJo's Bizarre Adventure: Eyes of Heaven,3.67,2.72,31.64
378,Watch Dogs 2,3.67,2.93,42.01
379,WWE 2K16,3.67,3.03,49.18
380,Persona 3: Dancing in Moonlight,3.66,2.69,19.65
381,inFamous: First Light,3.66,2.75,10.49
382,NBA 2K16,3.65,3.1,58.9
383,Super Meat Boy,3.65,4.48,17.52
384,Resident Evil 3,3.65,3,11.09
385,DmC: Devil May Cry Definitive Edition,3.64,2.98,25.2
386,Battleborn,3.64,3.19,49.28
387,Destiny,3.64,2.98,63.02
388,Genshin Impact,3.62,2.92,80
389,Stories: The Path of Destinies,3.62,2.55,13.58
390,Secret of Mana,3.62,2.74,34.92
391,Heavy Rain,3.61,2.45,13.28
392,God Eater 3,3.61,2.98,58.66
393,Warriors Orochi 4,3.61,2.65,64.2
394,Tales of Zestiria,3.61,3.03,62.96
395,TowerFall Ascension,3.61,3.97,16.42
396,FIFA 15,3.6,2.88,56.46
397,Octodad: Dadliest Catch,3.6,2.91,7.98
398,Shining Resonance Refrain,3.6,2.97,59.45
399,Crash Bandicoot 4: It's About Time,3.6,4.43,45.29
400,Apex Legends,3.6,3.25,60.52
401,Uncharted: Drake's Fortune Remastered,3.6,3.13,12.35
402,Senran Kagura: Peach Beach Splash,3.59,2.68,27.66
403,Fez,3.59,3.33,11.97
404,The Swapper,3.59,3.28,7.59
405,Dead or Alive 6,3.59,2.94,43.45
406,The Crew,3.58,2.96,43.42
407,Don't Starve: Console Edition,3.58,3.9,41.03
408,Broken Age,3.58,3.03,11.57
409,SteamWorld Dig,3.58,2.74,10.06
410,Watch Dogs,3.58,2.92,36.33
411,Trials Fusion,3.58,3.98,32.92
412,Batman: The Telltale Series,3.58,1.5,9.61
413,Resident Evil 6,3.57,2.98,39.65
414,The Surge,3.57,3.99,44.35
415,The Walking Dead: The Telltale Series - A New Frontier,3.57,1.38,11.18
416,Sniper Elite III,3.57,3.15,22.78
417,Strider,3.57,3.11,10.14
418,Assassin's Creed IV: Black Flag - Freedom Cry,3.56,2.86,11.39
419,Injustice: Gods Among Us - Ultimate Edition,3.56,3.16,20.68
420,LittleBigPlanet 3,3.56,2.75,30.94
421,FIFA 17,3.55,2.93,54.36
422,J-Stars Victory Vs+,3.54,2.96,34.48
423,The Sims 4,3.54,2.5,66.53
424,Tropico 5,3.54,3.27,35.7
425,Yakuza 3 Remastered,3.54,3.31,63.4
426,Just Cause 3,3.54,2.94,41.52
427,FIFA 16,3.53,2.87,62.27
428,Tom Clancy's The Division,3.53,3.06,54.72
429,Beyond: Two Souls,3.52,2.06,16.13
430,FIFA 18,3.52,3.19,62.5
431,EA Sports UFC 2,3.51,3.68,46
432,Dead by Daylight,3.51,3.47,69.53
433,Shenmue III,3.51,2.83,36.38
434,Vampyr,3.51,3.18,33.49
435,Need for Speed: Rivals,3.5,3.07,32.11
436,Gauntlet: Slayer Edition,3.5,3.32,21.51
437,Gran Turismo Sport,3.5,3.13,62.19
438,Trackmania Turbo,3.49,3.85,44
439,Call of Duty: Black Ops III,3.48,2.96,42.11
440,PixelJunk Shooter Ultimate,3.48,3,14.5
441,The Unfinished Swan,3.48,1.98,4.74
442,GreedFall,3.48,3.01,50.79
443,Dissidia: Final Fantasy NT,3.47,3.2,49.89
444,The Legend of Korra,3.46,3.64,17.73
445,7 Days to Die,3.46,3.76,75.69
446,Call of Duty: Advanced Warfare,3.45,2.83,29.7
447,Game of Thrones: A Telltale Games Series,3.45,1.54,11.62
448,Trine 2: Complete Story,3.44,3.07,21.16
449,Star Ocean: Integrity and Faithlessness,3.44,2.9,48.53
450,Driveclub,3.43,3.51,43.39
451,Mortal Kombat 11,3.43,3.1,47.72
452,Spelunky,3.42,4.35,54.56
453,Mercenary Kings,3.41,3.73,42.3
454,Yooka-Laylee,3.41,3.07,29.19
455,Call of Duty: WWII,3.41,2.96,25.58
456,Mirror's Edge Catalyst,3.41,2.91,20.64
457,Need for Speed,3.41,2.92,34.51
458,Lara Croft and the Temple of Osiris,3.41,2.85,12.25
459,Darksiders III,3.4,3.57,24.31
460,WWE 2K18,3.4,2.92,58.87
461,Destiny 2,3.39,2.75,59.68
462,Metro Exodus,3.39,3.12,27.95
463,CounterSpy,3.39,3.15,7.54
464,Fall Guys: Ultimate Knockout,3.38,3.57,39.38
465,Madden NFL 25,3.38,2.63,32.59
466,Never Alone,3.38,2.14,5.65
467,Godzilla,3.37,2.95,30.82
468,War Thunder,3.36,3.8,56
